iter	Passed	Remaining
0	9	9475
1	12	6089
2	14	4935
3	17	4321
4	19	3916
5	21	3609
6	23	3375
7	25	3151
8	27	3061
9	30	2997
10	32	2906
11	34	2833
12	36	2807
13	39	2787
14	41	2749
15	44	2715
16	46	2703
17	49	2677
18	51	2671
19	54	2646
20	56	2624
21	58	2600
22	60	2576
23	62	2555
24	65	2538
25	67	2528
26	70	2523
27	72	2512
28	74	2494
29	76	2483
30	79	2473
31	81	2465
32	84	2465
33	86	2458
34	88	2447
35	90	2436
36	93	2433
37	96	2435
38	99	2444
39	101	2435
40	103	2428
41	106	2421
42	108	2415
43	110	2410
44	113	2406
45	115	2399
46	118	2393
47	120	2386
48	122	2378
49	124	2373
50	127	2368
51	129	2366
52	132	2360
53	134	2356
54	136	2349
55	138	2342
56	141	2335
57	143	2334
58	146	2337
59	149	2343
60	152	2350
61	155	2352
62	158	2351
63	160	2352
64	163	2352
65	166	2350
66	168	2345
67	170	2340
68	173	2337
69	175	2336
70	178	2336
71	181	2337
72	183	2335
73	186	2330
74	188	2326
75	191	2324
76	193	2316
77	195	2311
78	197	2306
79	200	2302
80	202	2299
81	204	2294
82	206	2286
83	209	2287
84	212	2290
85	215	2287
86	217	2285
87	220	2282
88	222	2281
89	225	2276
90	227	2271
91	229	2267
92	232	2265
93	234	2261
94	236	2257
95	239	2255
96	242	2255
97	244	2252
98	247	2249
99	249	2245
100	251	2241
101	254	2237
102	256	2233
103	258	2229
104	261	2226
105	264	2227
106	266	2223
107	268	2220
108	271	2219
109	274	2219
110	276	2217
111	279	2216
112	282	2215
113	284	2213
114	287	2210
115	289	2207
116	292	2204
117	294	2201
118	296	2198
119	299	2196
120	301	2192
121	304	2189
122	306	2186
123	309	2183
124	311	2181
125	314	2180
126	316	2178
127	319	2176
128	321	2173
129	324	2169
130	326	2167
131	329	2165
132	331	2163
133	334	2161
134	336	2159
135	340	2160
136	342	2158
137	345	2155
138	347	2152
139	349	2149
140	352	2146
141	354	2143
142	357	2141
143	359	2137
144	361	2134
145	364	2131
146	367	2130
147	369	2128
148	372	2127
149	374	2123
150	377	2120
151	379	2117
152	381	2113
153	384	2109
154	386	2109
155	389	2106
156	391	2103
157	394	2100
158	396	2099
159	399	2095
160	401	2094
161	404	2092
162	406	2089
163	409	2086
164	411	2082
165	413	2079
166	416	2076
167	418	2073
168	421	2070
169	423	2066
170	425	2063
171	428	2060
172	430	2057
173	433	2056
174	435	2055
175	438	2052
176	440	2049
177	443	2046
178	445	2043
179	448	2041
180	450	2039
181	453	2038
182	456	2036
183	458	2034
184	461	2033
185	464	2031
186	466	2029
187	469	2026
188	471	2023
189	474	2021
190	476	2018
191	479	2016
192	481	2012
193	483	2010
194	486	2007
195	488	2003
196	490	2001
197	493	1998
198	495	1995
199	498	1992
200	500	1989
201	503	1988
202	505	1985
203	508	1984
204	511	1981
205	513	1979
206	516	1977
207	518	1974
208	520	1971
209	523	1970
210	526	1968
211	528	1965
212	531	1963
213	533	1960
214	536	1957
215	538	1955
216	541	1953
217	543	1951
218	546	1948
219	549	1946
220	552	1945
221	554	1943
222	556	1940
223	559	1937
224	561	1934
225	564	1932
226	566	1930
227	570	1930
228	572	1927
229	575	1925
230	577	1922
231	580	1920
232	582	1919
233	585	1916
234	587	1913
235	590	1910
236	592	1908
237	595	1906
238	598	1904
239	600	1902
240	603	1900
241	605	1897
242	608	1894
243	610	1891
244	613	1889
245	615	1886
246	618	1884
247	620	1881
248	622	1878
249	625	1876
250	628	1875
251	631	1873
252	633	1871
253	636	1868
254	638	1866
255	641	1863
256	643	1861
257	646	1858
258	648	1855
259	651	1852
260	653	1849
261	655	1846
262	658	1845
263	661	1843
264	663	1840
265	666	1837
266	668	1834
267	670	1831
268	672	1826
269	674	1823
270	676	1820
271	679	1818
272	681	1814
273	683	1811
274	686	1808
275	689	1808
276	692	1806
277	694	1804
278	697	1803
279	700	1800
280	702	1797
281	704	1794
282	707	1791
283	709	1788
284	711	1785
285	714	1782
286	716	1780
287	719	1777
288	721	1775
289	724	1772
290	726	1770
291	728	1767
292	731	1764
293	733	1761
294	735	1758
295	738	1755
296	741	1754
297	743	1751
298	746	1749
299	749	1747
300	751	1746
301	754	1744
302	757	1742
303	759	1739
304	762	1737
305	764	1734
306	767	1732
307	769	1729
308	772	1727
309	775	1725
310	777	1722
311	779	1719
312	782	1716
313	784	1713
314	786	1710
315	789	1708
316	791	1705
317	794	1704
318	797	1702
319	799	1699
320	802	1697
321	804	1694
322	807	1692
323	809	1689
324	812	1687
325	815	1685
326	817	1683
327	820	1680
328	823	1678
329	825	1676
330	828	1674
331	831	1672
332	833	1670
333	836	1667
334	838	1665
335	841	1662
336	844	1660
337	846	1658
338	849	1655
339	852	1653
340	854	1651
341	856	1648
342	859	1645
343	861	1643
344	864	1640
345	866	1637
346	868	1635
347	871	1632
348	873	1629
349	876	1627
350	878	1624
351	880	1621
352	883	1618
353	886	1616
354	888	1614
355	891	1613
356	894	1611
357	897	1609
358	900	1607
359	902	1604
360	904	1601
361	907	1599
362	909	1596
363	912	1593
364	914	1590
365	916	1587
366	919	1585
367	921	1583
368	924	1580
369	927	1578
370	929	1576
371	932	1573
372	934	1571
373	937	1568
374	939	1566
375	942	1564
376	944	1561
377	947	1558
378	949	1556
379	952	1553
380	954	1551
381	957	1549
382	960	1547
383	962	1544
384	965	1541
385	967	1539
386	970	1537
387	973	1534
388	975	1532
389	978	1530
390	980	1527
391	983	1525
392	985	1522
393	988	1520
394	990	1517
395	992	1514
396	995	1511
397	997	1509
398	1000	1506
399	1002	1504
400	1005	1502
401	1008	1499
402	1010	1496
403	1012	1494
404	1016	1493
405	1019	1491
406	1021	1488
407	1024	1486
408	1026	1483
