iter	Passed	Remaining
0	3	3465
1	6	3302
2	9	3196
3	12	3113
4	16	3208
5	19	3311
6	22	3248
7	25	3112
8	28	3102
9	31	3129
10	37	3390
11	41	3424
12	45	3420
13	48	3424
14	52	3417
15	55	3407
16	58	3381
17	63	3455
18	67	3468
19	70	3443
20	73	3422
21	77	3433
22	80	3426
23	83	3409
24	86	3391
25	90	3381
26	93	3375
27	96	3364
28	99	3330
29	102	3317
30	105	3312
31	109	3298
32	112	3297
33	115	3286
34	118	3271
35	121	3259
36	124	3253
37	128	3244
38	131	3234
39	134	3227
40	137	3219
41	140	3211
42	144	3223
43	148	3216
44	151	3209
45	154	3201
46	157	3191
47	160	3184
48	163	3179
49	166	3172
50	170	3164
51	173	3168
52	177	3165
53	180	3159
54	183	3152
55	186	3146
56	189	3138
57	193	3139
58	196	3132
59	199	3123
60	202	3117
61	206	3124
62	210	3128
63	213	3125
64	216	3118
65	220	3114
66	223	3108
67	226	3107
68	230	3103
69	233	3097
70	236	3096
71	240	3100
72	243	3093
73	246	3087
74	250	3086
75	253	3080
76	256	3070
77	259	3066
78	262	3060
79	265	3058
80	269	3060
81	272	3054
82	275	3043
83	278	3039
84	281	3034
85	284	3028
86	288	3025
87	291	3019
88	294	3013
89	297	3010
90	300	3006
91	304	3000
92	307	2996
93	310	2990
94	313	2989
95	317	2992
96	321	2989
97	324	2990
98	328	2987
99	331	2984
100	335	2985
101	341	3010
102	347	3027
103	352	3032
104	355	3030
105	358	3024
106	361	3018
107	364	3013
108	368	3008
109	371	3003
110	376	3014
111	380	3020
112	384	3016
113	387	3011
114	390	3007
115	394	3002
116	397	2997
117	400	2992
118	403	2989
119	408	2992
120	411	2990
121	415	2986
122	418	2981
123	421	2976
124	424	2971
125	427	2965
126	430	2960
127	434	2957
128	437	2956
129	440	2950
130	444	2946
131	447	2940
132	450	2935
133	453	2933
134	456	2928
135	459	2922
136	463	2918
137	466	2915
138	470	2913
139	473	2910
140	476	2905
141	480	2900
142	483	2897
143	486	2893
144	489	2887
145	492	2883
146	496	2879
147	499	2876
148	503	2874
149	506	2870
150	509	2865
151	513	2862
152	516	2858
153	519	2853
154	522	2850
155	526	2846
156	529	2842
157	533	2842
158	536	2838
159	539	2834
160	543	2830
161	546	2825
162	549	2821
163	552	2817
164	556	2818
165	560	2818
166	564	2815
167	567	2811
168	571	2808
169	574	2804
170	578	2802
171	583	2809
172	588	2814
173	592	2814
174	596	2810
175	599	2807
176	604	2810
177	607	2806
178	610	2801
179	614	2797
180	617	2794
181	620	2791
182	624	2788
183	628	2787
184	632	2785
185	635	2780
186	638	2776
187	641	2772
188	645	2768
189	652	2782
190	657	2784
191	662	2786
192	666	2786
193	669	2782
194	672	2777
195	677	2781
196	681	2777
197	684	2771
198	687	2767
199	690	2763
200	694	2759
201	697	2754
202	700	2750
203	703	2746
204	707	2743
205	710	2739
206	713	2735
207	717	2730
208	720	2725
209	723	2720
210	726	2717
211	729	2712
212	733	2708
213	736	2705
214	739	2701
215	743	2696
216	746	2692
217	749	2688
218	752	2684
219	756	2681
220	759	2678
221	763	2676
222	767	2674
223	770	2670
224	774	2666
225	777	2661
226	780	2657
227	783	2653
228	786	2648
229	789	2643
230	793	2640
231	796	2636
232	799	2633
233	803	2629
234	806	2624
235	809	2619
236	812	2615
237	815	2611
238	818	2606
239	821	2601
240	825	2599
241	829	2597
242	832	2594
243	835	2589
244	838	2585
245	842	2581
246	845	2577
247	848	2572
248	851	2569
249	855	2567
250	859	2563
251	862	2561
252	866	2557
253	869	2552
254	872	2548
255	875	2544
256	878	2540
257	881	2536
258	885	2533
259	889	2530
260	892	2526
261	895	2521
262	898	2517
263	902	2514
264	905	2510
265	908	2506
266	911	2502
267	914	2498
268	916	2491
269	921	2490
270	924	2486
271	927	2482
272	930	2478
273	933	2474
274	937	2472
275	943	2475
276	947	2473
277	951	2470
278	954	2467
279	959	2468
280	963	2465
281	966	2461
282	969	2457
283	973	2453
284	976	2449
285	979	2446
286	983	2442
287	986	2438
288	989	2434
289	992	2429
290	995	2426
291	999	2422
292	1002	2418
293	1005	2414
294	1008	2410
295	1011	2406
296	1014	2402
297	1018	2398
298	1021	2394
299	1024	2390
300	1028	2388
301	1032	2386
302	1036	2383
303	1039	2379
304	1042	2375
305	1045	2371
306	1048	2367
307	1051	2363
308	1055	2359
309	1058	2357
310	1062	2353
311	1065	2349
312	1068	2345
313	1071	2340
314	1074	2337
315	1077	2333
316	1081	2329
317	1084	2325
318	1087	2322
319	1091	2319
320	1094	2316
321	1098	2312
322	1101	2308
323	1104	2305
324	1107	2301
325	1110	2296
326	1114	2293
327	1117	2289
328	1120	2286
329	1124	2282
330	1127	2278
331	1130	2274
332	1133	2270
333	1136	2266
334	1139	2262
335	1143	2259
336	1146	2255
337	1149	2250
338	1152	2248
339	1155	2243
340	1158	2239
341	1162	2235
342	1165	2231
343	1168	2227
344	1171	2223
345	1174	2219
346	1177	2215
347	1180	2211
348	1184	2210
349	1188	2207
350	1191	2203
351	1195	2200
352	1198	2196
353	1203	2196
354	1207	2194
355	1211	2192
356	1216	2190
357	1219	2187
358	1223	2183
359	1227	2182
360	1231	2179
361	1234	2176
362	1238	2172
363	1241	2169
364	1246	2168
365	1250	2165
366	1253	2161
367	1256	2158
368	1260	2155
369	1266	2156
370	1270	2154
371	1273	2150
372	1277	2147
373	1280	2143
374	1283	2139
375	1287	2136
376	1290	2132
377	1293	2128
378	1296	2124
379	1299	2120
380	1304	2120
381	1309	2118
382	1312	2114
383	1315	2110
384	1319	2107
385	1322	2103
386	1325	2099
387	1328	2096
388	1331	2092
389	1335	2088
390	1338	2084
391	1342	2081
392	1345	2077
393	1348	2074
394	1351	2069
395	1354	2066
396	1357	2062
397	1361	2058
398	1364	2055
399	1368	2052
400	1371	2048
401	1374	2045
402	1378	2041
403	1381	2037
404	1384	2033
405	1387	2030
406	1391	2027
407	1395	2024
408	1398	2020
409	1401	2016
410	1404	2013
411	1408	2009
412	1411	2005
413	1414	2002
414	1417	1998
415	1421	1995
416	1424	1991
417	1427	1987
418	1430	1984
419	1434	1980
420	1437	1977
421	1440	1973
422	1443	1969
423	1447	1966
424	1451	1963
425	1454	1960
426	1457	1956
427	1461	1952
428	1464	1948
429	1467	1945
430	1471	1942
431	1474	1939
432	1478	1936
433	1482	1932
434	1485	1929
435	1488	1925
436	1491	1921
437	1494	1917
438	1497	1913
439	1501	1910
440	1504	1906
441	1507	1902
442	1511	1900
443	1514	1896
444	1517	1892
445	1521	1889
446	1524	1885
447	1527	1882
448	1531	1878
449	1534	1875
450	1537	1871
451	1541	1868
452	1544	1865
453	1547	1861
454	1551	1858
455	1554	1854
456	1558	1851
457	1561	1847
458	1564	1843
459	1571	1844
460	1575	1842
461	1580	1840
462	1583	1836
463	1586	1832
464	1589	1829
465	1592	1825
466	1595	1821
467	1599	1818
468	1603	1815
469	1606	1812
470	1610	1808
471	1613	1804
472	1617	1802
473	1621	1798
474	1624	1795
475	1627	1791
476	1630	1787
477	1633	1784
478	1636	1780
479	1640	1776
480	1643	1773
481	1646	1769
482	1649	1765
483	1652	1762
484	1655	1758
485	1659	1754
486	1662	1751
487	1667	1749
488	1670	1745
489	1673	1742
490	1678	1740
491	1681	1736
492	1684	1732
493	1687	1728
494	1691	1725
495	1694	1721
496	1698	1718
497	1701	1715
498	1704	1711
499	1707	1707
500	1710	1703
501	1713	1699
502	1716	1696
503	1719	1692
504	1722	1688
505	1727	1686
506	1730	1682
507	1733	1678
508	1736	1675
509	1739	1671
510	1743	1667
511	1746	1664
512	1749	1660
513	1753	1657
514	1756	1654
515	1759	1650
516	1763	1647
517	1766	1644
518	1770	1640
519	1774	1637
520	1777	1634
521	1780	1630
522	1783	1627
523	1786	1623
524	1789	1619
525	1793	1616
526	1797	1612
527	1800	1609
528	1803	1605
529	1806	1602
530	1813	1601
531	1818	1599
532	1821	1596
533	1825	1592
534	1828	1588
535	1831	1585
536	1834	1581
537	1838	1578
538	1846	1579
539	1849	1575
540	1852	1571
541	1855	1568
542	1859	1565
543	1863	1561
544	1866	1558
545	1870	1555
546	1874	1552
547	1880	1551
548	1884	1548
549	1888	1545
550	1893	1542
551	1897	1539
552	1900	1536
553	1903	1532
554	1906	1528
555	1909	1525
556	1913	1521
557	1916	1518
558	1919	1514
559	1922	1510
560	1925	1506
561	1929	1503
562	1933	1500
563	1936	1496
564	1939	1493
565	1942	1489
566	1945	1485
567	1948	1482
568	1952	1478
569	1955	1474
570	1958	1471
571	1961	1467
572	1964	1464
573	1968	1460
574	1971	1457
575	1974	1453
576	1977	1449
577	1980	1446
578	1983	1442
579	1987	1439
580	1991	1435
581	1994	1432
582	1997	1429
583	2001	1425
584	2004	1421
585	2008	1419
586	2012	1415
587	2015	1412
588	2018	1408
589	2022	1405
590	2025	1401
591	2028	1398
592	2032	1394
593	2035	1391
594	2038	1387
595	2041	1383
596	2044	1380
597	2047	1376
598	2051	1373
599	2055	1370
600	2058	1366
601	2061	1362
602	2064	1359
603	2068	1356
604	2071	1352
605	2075	1349
606	2078	1345
607	2081	1341
608	2085	1339
609	2089	1336
610	2092	1332
611	2096	1328
612	2099	1325
613	2102	1321
614	2105	1318
615	2108	1314
616	2111	1310
617	2115	1307
618	2118	1303
619	2121	1300
620	2124	1296
621	2128	1293
622	2131	1290
623	2135	1286
624	2138	1282
625	2141	1279
626	2144	1275
627	2147	1272
628	2151	1269
629	2154	1265
630	2157	1261
631	2161	1258
632	2165	1255
633	2172	1254
634	2176	1251
635	2179	1247
636	2182	1243
637	2186	1240
638	2191	1238
639	2194	1234
640	2197	1230
641	2201	1227
642	2204	1223
643	2207	1220
644	2210	1216
645	2213	1212
646	2216	1209
647	2219	1205
648	2223	1202
649	2226	1198
650	2229	1195
651	2233	1191
652	2236	1188
653	2239	1184
654	2242	1181
655	2245	1177
656	2249	1174
657	2252	1170
658	2255	1167
659	2259	1163
660	2262	1160
661	2265	1156
662	2269	1153
663	2272	1149
664	2275	1146
665	2280	1143
666	2283	1139
667	2286	1136
668	2289	1133
669	2293	1129
670	2299	1127
671	2303	1124
672	2308	1121
673	2311	1118
674	2317	1115
675	2320	1112
676	2324	1108
677	2327	1105
678	2330	1101
679	2333	1098
680	2336	1094
681	2339	1090
682	2342	1087
683	2346	1083
684	2349	1080
685	2352	1076
686	2355	1073
687	2359	1069
688	2362	1066
689	2365	1062
690	2368	1059
691	2371	1055
692	2375	1052
693	2378	1048
694	2382	1045
695	2386	1042
696	2389	1038
697	2392	1035
698	2395	1031
699	2398	1028
700	2401	1024
701	2405	1020
702	2408	1017
703	2412	1014
704	2415	1010
705	2418	1007
706	2421	1003
707	2425	1000
708	2428	996
709	2431	993
710	2435	989
711	2438	986
712	2442	982
713	2445	979
714	2448	976
715	2452	972
716	2455	969
717	2458	965
718	2462	962
719	2465	958
720	2468	955
721	2471	951
722	2477	949
723	2482	946
724	2486	942
725	2490	939
726	2493	936
727	2497	932
728	2500	929
729	2506	926
730	2509	923
731	2513	920
732	2516	916
733	2520	913
734	2523	909
735	2526	906
736	2529	902
737	2532	899
738	2536	895
739	2539	892
740	2542	888
741	2545	885
742	2549	881
743	2552	878
744	2556	874
745	2559	871
746	2562	867
747	2565	864
748	2568	860
749	2571	857
750	2574	853
751	2578	850
752	2581	846
753	2584	843
754	2587	839
755	2590	836
756	2593	832
757	2596	829
758	2600	825
759	2603	822
760	2606	818
761	2610	815
762	2613	811
763	2616	808
764	2619	804
765	2622	801
766	2625	797
767	2629	794
768	2632	790
769	2635	787
770	2638	783
771	2642	780
772	2645	776
773	2649	773
774	2652	770
775	2656	766
776	2659	763
777	2662	759
778	2665	756
779	2669	752
780	2672	749
781	2675	745
782	2678	742
783	2681	738
784	2685	735
785	2688	731
786	2691	728
787	2694	724
